STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2017,,15837.627,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2018,,15815.285,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2019,,14191.778,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2020,,12298.302,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2021,,12907.445,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2022,,13454.764,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2023,,10722.001,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2024,,9588.072,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2013,,81561.127,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2014,,79604.753,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2015,,79414.733,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2016,,77130.836,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2017,,71308.498,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2018,,69738.493,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2019,,56465.035,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2020,,44655.002,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2021,,53915.451,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2022,,55622.221,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2023,,41955.653,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DE,Germany,2024,,37768.756,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2013,,3173.545,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2014,,2533.670,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2015,,1817.650,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2016,,2004.774,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2017,,1535.847,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2018,,1592.478,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2019,,968.926,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2020,,819.714,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2021,,1120.017,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2022,,1020.279,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2023,,665.197,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,DK,Denmark,2024,,444.213,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2013,,27.993,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2014,,33.582,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2015,,13.360,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2016,,8.659,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2017,,12.289,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2018,,16.743,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2019,,14.129,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2020,,-2.726,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2021,,-8.983,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2022,,-4.544,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2023,,-0.412,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EE,Estonia,2024,,0.477,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,EL,Greece,2013,,6981.004,,,,,
